DMG_ID	percent_occurrence	dc_blast_hit	max_blastn_hit_length	ORF_ID	ORF_length	annotation	contig	start	stop
DMG_1	100	no	26	Pdam_TMW21533_fig_51663_47_peg_1030	738	Mobile element protein chr21533-1 1142642-1143379	chr21533-1	218213	217476
				Pdam_TMW21533_fig_51663_47_peg_1282	738	Mobile element protein chr21533-1 1427722-1428459	chr21533-1	465945	466682
				Pdam_TMW21533_fig_51663_47_peg_1684	738	Mobile element protein chr21533-1 1861765-1862502	chr21533-1	693433	692696
				Pdam_TMW21533_fig_51663_47_peg_1781	738	Mobile element protein chr21533-1 1971727-1972464	chr21533-1	1143379	1142642
				Pdam_TMW21533_fig_51663_47_peg_186	738	Mobile element protein chr21533-1 217476-218213	chr21533-1	1427722	1428459
				Pdam_TMW21533_fig_51663_47_peg_31	738	Mobile element protein chr21533-1 31512-32249	chr21533-1	1862502	1861765
				Pdam_TMW21533_fig_51663_47_peg_409	738	Mobile element protein chr21533-1 465945-466682	chr21533-1	1972464	1971727
				Pdam_TMW21533_fig_51663_47_peg_616	738	Mobile element protein chr21533-1 692696-693433	chr21533-1	32249	31512
				Pdam_TMW21533_fig_51663_47_peg_716	738	Mobile element protein chr21533-1 799328-800065	chr21533-1	800065	799328
				Pdam_TMW21535_fig_51663_45_peg_1085	738	Mobile element protein chr21535-1 1177769-1178506	chr21535-1	23733	24470
				Pdam_TMW21535_fig_51663_45_peg_1205	738	Mobile element protein chr21535-1 1313894-1314631	chr21535-1	96224	95487
				Pdam_TMW21535_fig_51663_45_peg_1256	738	Mobile element protein chr21535-1 1374103-1374840	chr21535-1	212529	211792
				Pdam_TMW21535_fig_51663_45_peg_1452	738	Mobile element protein chr21535-1 1587793-1588530	chr21535-1	266641	267378
				Pdam_TMW21535_fig_51663_45_peg_1538	738	Mobile element protein chr21535-1 1677954-1678691	chr21535-1	350222	350959
				Pdam_TMW21535_fig_51663_45_peg_1642	738	Mobile element protein chr21535-1 1790463-1791200	chr21535-1	423370	424107
				Pdam_TMW21535_fig_51663_45_peg_1726	738	Mobile element protein chr21535-1 1892841-1893578	chr21535-1	535064	535801
				Pdam_TMW21535_fig_51663_45_peg_1797	738	Mobile element protein chr21535-1 1964924-1965661	chr21535-1	652685	651948
				Pdam_TMW21535_fig_51663_45_peg_185	738	Mobile element protein chr21535-1 211792-212529	chr21535-1	802412	803149
				Pdam_TMW21535_fig_51663_45_peg_1856	738	Mobile element protein chr21535-1 2027060-2027797	chr21535-1	1024409	1023672
